特征,系列,IC,RIC,ICIR,RICIR,IC均值,RIC均值,Fitness,有效样本
D5,D,0.016611320786223627,0.016074654437396085,0.07736567401629828,0.0631259157306632,0.017884754895414575,0.014534884144217098,0.6708874321379066,9021
D6,D,0.016599953977400758,0.02004825423737466,0.10964642101000766,0.10903992845571041,0.024001972989514012,0.023889610121501696,1.0989456746389155,9021
E9,E,0.015358279743792114,0.020458586113098663,-0.019413978075349662,0.0034314999086764632,-0.004222584407765055,0.0007284907692412692,0.18406032565277466,8015
E6,E,0.012511165650556358,0.004363781699398145,0.052837087272759986,0.07526354722932128,0.011216684120918419,0.016004674523667464,0.14977976072886567,8015
M18,M,-0.01219704620675756,-0.007308297732626255,0.0,0.0,0.0,0.0,0.0,8015
S7,S,-0.01203423474406138,-0.011880217002816142,-0.04579174298348909,0.0026111671082022702,-0.009714628656769137,0.0005492575382819773,0.07305672261045855,8015
P11,P,-0.011951098352091061,-0.007249905539487645,-1.9836814211638791,-1.9489284639231292,-0.3260060145747303,-0.3237489045274517,0.0,8015
P3,P,-0.011775963964101566,-0.013330595921334766,-0.0792110042221404,-0.05736931299855504,-0.01840055078769789,-0.013356571990294528,0.0,8015
M13,M,0.011551101157190487,0.009069999228288503,0.8031130581634153,0.6994407220700686,0.1760483477172471,0.1516030109936887,0.8762057404324832,3481
V6,V,0.010664779076329196,0.01640320892352594,0.0,0.0,0.0,0.0,0.0,8015
D7,D,0.010602494694927132,0.01571251196426826,0.0,0.0,0.0,0.0,0.0,9021
S8,S,-0.010134402321051913,-0.023656931221244473,-1.1286941408244942,-1.046138246456525,-0.20228161938517858,-0.1929873072469259,0.0,6012
E13,E,-0.00987393613034056,-0.014999451550537536,-0.004197721894228532,0.000497428764520907,-0.0008654144551034607,0.0001029248672151694,0.03303171637652022,8015
M6,M,0.009775524755943668,0.02238644701544084,0.06319726932650693,0.08746818931012718,0.014667313345761025,0.019757400573927872,0.6472176013073853,3978
S9,S,-0.009644411915754464,-0.007510072775943456,0.0,0.0,0.0,0.0,0.0,8015
V12,V,0.008935853267176507,0.01293618664450777,0.0,0.0,0.0,0.0,0.0,8015
lagged_risk_free_rate,l,-0.008672509146501342,-0.01615263816783723,0.02221690744957698,0.03384252532588322,0.005131689953940363,0.0076566696884998306,0.2577030819678081,9020
M5,M,0.00833420556894978,0.00488034360564485,0.06186803774282274,0.07976954683488208,0.014225036648667852,0.018341710194352816,0.11487702258840304,5738
E18,E,-0.008162763495327123,-0.010263818345142233,0.0,0.0,0.0,0.0,0.0,8015
M10,M,0.008149983314892329,0.0028050165341681832,-0.12719207024764922,-0.11604323971998952,-0.027975256457821854,-0.025364097203628606,0.0,8015
E5,E,-0.007181044746595432,-0.011222424181387372,0.0,0.0,0.0,0.0,0.0,8015
E1,E,0.007038220151916972,0.008715903079823666,0.06839354417145667,0.073126610435964,0.014504935422069024,0.01544801321674927,0.16588723226089472,7237
M7,M,-0.006843728034409147,-0.005938960540684575,-0.056875570682843664,-0.0947595064113007,-0.012485733814509056,-0.02075680697491603,0.0,8015
I1,I,-0.006492546021272722,-0.010872559542240666,-0.011848424182078784,0.022451649004730755,-0.0026612323841126964,0.005066509067572888,0.10577205776036681,8015
E17,E,0.006414154425140584,0.002403682412583758,0.0,0.0,0.0,0.0,0.0,8015
E4,E,0.006226122963336351,0.0020219736798882007,-0.015267675025782343,-0.005269877810176554,-0.003332922406353022,-0.0011664607540511455,0.0,8015
M11,M,0.006182381588993794,0.012513894000688327,1.094479331632035,1.020193645138507,0.21327293633804492,0.19918041727630734,0.7814291106633956,8015
E16,E,0.006110174775713244,0.002048520829633167,0.0,0.0,0.0,0.0,0.0,8015
V11,V,0.005964626873970674,0.01155279928179726,0.0,0.0,0.0,0.0,0.0,8015
D3,D,0.0055588994487140156,0.004834045409023042,0.0,0.0,0.0,0.0,0.0,9021
E15,E,0.005475650166102354,-0.00028231834041708205,-0.02280897442179011,-0.006084051232895989,-0.00500705062113407,-0.0013245982886222892,0.0,8015
I6,I,-0.005286763016183423,-0.0036945898608580674,0.0329824189994644,0.03458451894188344,0.00727873279925257,0.00762095091649732,0.03632427432467278,8015
M16,M,0.00504300788355415,0.011607081107508042,0.0,0.0,0.0,0.0,0.0,8015
P9,P,0.004623728877285269,0.002057961490880877,-0.04462293967237779,-0.060614853808866435,-0.010256053987480881,-0.01370472217582878,0.0,8015
S1,S,0.004380724998792827,-0.00018920596870387722,-0.031850153383129826,-0.02354224442080574,-0.006938215596744483,-0.0051166560723971,0.0,8015
I3,I,0.004379202383772202,0.0028686786691562126,-0.03190114392180014,-0.036667095849866806,-0.007014941696531861,-0.008080006438696493,0.0,8015
M15,M,-0.004309410210213291,-0.012927342818018538,-0.08438133659096157,-0.08297116697830122,-0.018022799639313924,-0.017699886856313622,0.0,8015
I9,I,0.004213898885049274,-0.0002222591338447016,0.018893513636221673,0.012911215353635225,0.0043790875109963375,0.002897677314228874,-0.0010642098892295465,8015
I5,I,0.0041124903005984766,-0.00028000659428632205,0.018237524698991956,0.017278757930100284,0.0042151771431438514,0.003935818864172393,-0.0015136637353525084,8015
P2,P,0.0037790793542149485,0.004248137146099114,1.7135995273794744,1.6663762733763743,0.2972187314502047,0.29117133754847346,0.20723880392097263,8015
P13,P,-0.0034188585216427397,-0.0016284350638913112,-0.06278786159705027,-0.04730731648106146,-0.014318998701164909,-0.010892035841677923,0.0,8015
I7,I,0.0033597588495852546,-0.004857532860345066,0.009487391005378532,0.03832061476010505,0.0022015853545307154,0.008899263251159972,-0.03194773604326231,8015
V8,V,0.003104634065982741,0.008647501838595814,0.0,0.0,0.0,0.0,0.0,8015
P4,P,0.0030252490644763616,0.006002146068831869,0.03881635368656198,0.02903717537220693,0.00898816957229996,0.0068400519175875725,0.030941750462843483,8015
E10,E,-0.0028615421252984746,-0.0053089645832828216,0.013612247886896684,0.03792610823208128,0.002884190807729787,0.008018323263049137,0.029585513519805273,8015
