feature,gain,split,category
S5_x_S2,0.0,0.0,interaction
S5_div_S7,0.0,0.0,other
S5_x_S7,0.0,0.0,interaction
S5_div_M4,0.0,0.0,other
S5_x_M4,0.0,0.0,interaction
S5_div_M7,0.0,0.0,other
S5_x_M7,0.0,0.0,interaction
S5_div_M11,0.0,0.0,other
S5_x_M11,0.0,0.0,interaction
S5_div_V3,0.0,0.0,other
P3_x_M8,0.0,0.0,interaction
D6_x_S2,0.0,0.0,interaction
M11_x_S2,0.0,0.0,interaction
P11_x_M7,0.0,0.0,interaction
V7_x_M8,0.0,0.0,interaction
V7_div_P3,0.0,0.0,other
V7_x_P3,0.0,0.0,interaction
V7_div_D6,0.0,0.0,other
V7_x_D6,0.0,0.0,interaction
P11_div_S2,0.0,0.0,other
P11_x_S2,0.0,0.0,interaction
P11_div_S7,0.0,0.0,other
P11_x_S7,0.0,0.0,interaction
P11_div_M4,0.0,0.0,other
P11_x_M4,0.0,0.0,interaction
P11_div_M7,0.0,0.0,other
P11_div_M11,0.0,0.0,other
V7_x_S5,0.0,0.0,interaction
P11_x_M11,0.0,0.0,interaction
P11_div_V3,0.0,0.0,other
P11_x_V3,0.0,0.0,interaction
P11_div_S5,0.0,0.0,other
P11_x_S5,0.0,0.0,interaction
P11_div_M8,0.0,0.0,other
P11_x_M8,0.0,0.0,interaction
P11_div_P3,0.0,0.0,other
P11_x_P3,0.0,0.0,interaction
P11_div_D6,0.0,0.0,other
P11_x_D6,0.0,0.0,interaction
P11_div_V7,0.0,0.0,other
V7_div_M8,0.0,0.0,other
V7_div_S5,0.0,0.0,other
D6_div_S7,0.0,0.0,other
D6_x_M8,0.0,0.0,interaction
D6_x_S7,0.0,0.0,interaction
D6_div_M4,0.0,0.0,other
D6_x_M4,0.0,0.0,interaction
D6_div_M7,0.0,0.0,other
D6_x_M7,0.0,0.0,interaction
D6_div_M11,0.0,0.0,other
D6_x_M11,0.0,0.0,interaction
D6_div_V3,0.0,0.0,other
D6_x_V3,0.0,0.0,interaction
D6_div_S5,0.0,0.0,other
D6_x_S5,0.0,0.0,interaction
D6_div_M8,0.0,0.0,other
D6_div_P3,0.0,0.0,other
V7_x_V3,0.0,0.0,interaction
D6_x_P3,0.0,0.0,interaction
V7_div_S2,0.0,0.0,other
V7_x_S2,0.0,0.0,interaction
V7_div_S7,0.0,0.0,other
V7_x_S7,0.0,0.0,interaction
V7_div_M4,0.0,0.0,other
V7_x_M4,0.0,0.0,interaction
V7_div_M7,0.0,0.0,other
V7_x_M7,0.0,0.0,interaction
V7_div_M11,0.0,0.0,other
V7_x_M11,0.0,0.0,interaction
V7_div_V3,0.0,0.0,other
M11_div_S7,0.0,0.0,other
M11_div_S2,0.0,0.0,other
D1_div_D7,0.0,0.0,other
P4_zscore14,0.0,0.0,other
V2_zscore14,0.0,0.0,other
S8_zscore30,0.0,0.0,other
S8_zscore14,0.0,0.0,other
M17_zscore30,0.0,0.0,other
M17_zscore14,0.0,0.0,other
V6_zscore30,0.0,0.0,other
V6_zscore14,0.0,0.0,other
S12_zscore30,0.0,0.0,other
S12_zscore14,0.0,0.0,other
P1_zscore30,0.0,0.0,other
P1_zscore14,0.0,0.0,other
P4_zscore30,0.0,0.0,other
E16_zscore30,0.0,0.0,other
M15_zscore14,0.0,0.0,other
E16_zscore14,0.0,0.0,other
M9_zscore30,0.0,0.0,other
M9_zscore14,0.0,0.0,other
P2_zscore30,0.0,0.0,other
P2_zscore14,0.0,0.0,other
P5_zscore30,0.0,0.0,other
P5_zscore14,0.0,0.0,other
P8_zscore30,0.0,0.0,other
P8_zscore14,0.0,0.0,other
M12_zscore30,0.0,0.0,other
M12_zscore14,0.0,0.0,other
S6_zscore30,0.0,0.0,other
V2_zscore30,0.0,0.0,other
M15_zscore30,0.0,0.0,other
P7_zscore30,0.0,0.0,other
M1_zscore14,0.0,0.0,other
lagged_market_forward_excess_returns_zscore14,0.0,0.0,other
lagged_risk_free_rate_zscore30,0.0,0.0,other
lagged_risk_free_rate_zscore14,0.0,0.0,other
lagged_forward_returns_zscore30,0.0,0.0,other
